lvl	Key	Value
>>>	Description	An Unfinished Man is missing something that other Clay Men lack. What did each of these your enemies lack? An eye. A hand. Mercy. Obedience. Fear. Pain. A shadow. A sense of proportion. This may serve as material for philosophy, or for battle tactics.
>>>	Teaser	An Unfinished Man is missing something that other Clay Men lack...
>>>	Name	A hundred absences
>>	Name	Record any Observations
>>	Description	Four zailors should be enough for a skeleton crew, unless she runs into trouble.
>>>	Description	Your prize is never seen again. Perhaps a heptycheer devours your crew. Perhaps they devour each other. Perhaps they betray you and sail it to the Iron Republic, where laws cannot follow.
>>>	Teaser	Your prize is never seen again...
>>>	Name	Into the darkness
>>	Name	Send home with a prize crew
>>>	Description	When you next return to London, return to your Lodgings to claim your prize money...
>>>	Teaser	When you next return to London, return to your Lodgings to claim your prize money...
>>>	Name	Awaiting your pleasure
>	Name	You've defeated the Unfinished Pirates
>	Description	The ship is yours! What will you do with her?
>	Teaser	The ship is yours! - 
>>	Description	She's a vile old vessel, and these zees aren't safe. Take what you can and move on.
>>>	Description	These pinnaces don't sail far from their hidden harbours, but here's something at the back of the hold -
>>>	Teaser	These pinnaces don't sail far from their hidden harbours, but here's something at the back of the hold -
>>>	Name	Lean pickings
>>	Name	Loot and scuttle her
>>	Description	If you've gathered enough, you may learn something...
>>>	Description	These pirates have done perverse and perilous things to their engine to keep it running at such a pace. You probably don't want to do those things. But you can learn from them...
>>>	Teaser	These pirates have done perverse and perilous things to their engine to keep it running at such a pace...
>>>	Name	Desperate innovations
>>	Name	Record any Observations
>>	Description	Two zailors should be enough for a skeleton crew, and she's fast enough to avoid most trouble.
>>>	Description	Your prize is never seen again. Perhaps a heptycheer devours your crew. Perhaps they devour each other. Perhaps they betray you and sail it to the Iron Republic, where laws cannot follow.
>>>	Teaser	Your prize is never seen again...
>>>	Name	Into the darkness
>>	Name	Send her home with a prize crew
>>>	Description	When you next return to London, return to your Lodgings to claim your prize money...
>>>	Teaser	When you next return to London, return to your Lodgings to claim your prize money...
>>>	Name	Awaiting your pleasure
>	Name	You've defeated a Crack Pirate Steam-Pinnace
>	Description	The ship is yours! What will you do with her?
>	Teaser	The ship is yours! - 
>>	Description	She's a vile old vessel, and these zees aren't safe. Take what you can and move on.
>>>	Description	These pinnaces don't sail far from their hidden harbours, but here's something at the back of the hold -
>>>	Teaser	These pinnaces don't sail far from their hidden harbours, but here's something at the back of the hold -
>>>	Name	Lean pickings
>>	Name	Loot and scuttle her
>>	Description	If you've gathered enough, you may learn something...
>>>	Description	These pirates have done perverse and perilous things to their engine to keep it running at such a pace. You probably don't want to do those things. But you can learn from them...
>>>	Teaser	These pirates have done perverse and perilous things to their engine to keep it running at such a pace...
>>>	Name	Desperate innovations
>>	Name	Record any Observations
>	Name	You've destroyed a Crack Pirate Steam-Pinnace
>	Description	The ship is yours! What will you do with her?
>	Teaser	The ship is yours! - 
>>	Description	She's a vile old vessel, and these zees aren't safe. Take what you can and move on.
>>>	Description	These pinnaces don't sail far from their hidden harbours, but here's something at the back of the hold -
>>>	Teaser	These pinnaces don't sail far from their hidden harbours, but here's something at the back of the hold -
>>>	Name	Lean pickings
>>	Name	Loot and scuttle her
>>	Description	If you've gathered enough, you may learn something...
>>>	Description	These pirates have done perverse and perilous things to their engine to keep it running at such a pace. You probably don't want to do those things. But you can learn from them...
>>>	Teaser	These pirates have done perverse and perilous things to their engine to keep it running at such a pace...
>>>	Name	Desperate innovations
>>	Name	Record any Observations
>	Name	You've destroyed a Rat-Barge
>	Description	The ship is yours! What will you do with her?
>	Teaser	The ship is yours! - 
>>	Description	She's a vile old vessel, and these zees aren't safe. Take what you can and move on.
>>>	Description	These pinnaces don't sail far from their hidden harbours, but here's something at the back of the hold -
>>>	Teaser	These pinnaces don't sail far from their hidden harbours, but here's something at the back of the hold -
>>>	Name	Lean pickings
>>	Name	Loot and scuttle her
>>	Description	If you've gathered enough, you may learn something...
>>>	Description	These pirates have done perverse and perilous things to their engine to keep it running at such a pace. You probably don't want to do those things. But you can learn from them...
>>>	Teaser	These pirates have done perverse and perilous things to their engine to keep it running at such a pace...
>>>	Name	Desperate innovations
>>	Name	Record any Observations
>>	Description	Two zailors should be enough for a skeleton crew, and she's fast enough to avoid most trouble.
>>>	Description	Your prize is never seen again. Perhaps a heptycheer devours your crew. Perhaps they devour each other. Perhaps they betray you and sail it to the Iron Republic, where laws cannot follow.
>>>	Teaser	Your prize is never seen again...
>>>	Name	Into the darkness
>>	Name	Send her home with a prize crew
>>>	Description	When you next return to London, return to your Lodgings to claim your prize money...
>>>	Teaser	When you next return to London, return to your Lodgings to claim your prize money...
>>>	Name	Awaiting your pleasure
>	Name	You've defeated a Rat-Barge
>	Description	The ship is yours! What will you do with her?
>	Teaser	The ship is yours! - 
>>	Description	She's a vile old vessel, and these zees aren't safe. Take what you can and move on.
>>>	Description	Here's something at the back of the hold...
>>>	Teaser	Here's something at the back of the hold...
>>>	Name	What's this?
>>	Name	Loot and scuttle her
>>	Description	If you've gathered enough, you may learn something...
>>>	Description	Corsairs! Inventive and disgusting as a sewerful of clockwork apes. You've gleaned enough details to write a treatise, a strategy manual or a titillating penny-dreadful.
>>>	Teaser	Corsairs! - 
>>>	Name	The study of squalor
>>	Name	Record any Observations
>	Name	You've destroyed a Crack Pirate Frigate
>	Description	The ship is yours! What will you do with her?
>	Teaser	The ship is yours! - 
>>	Description	She's a vile old vessel, and these zees aren't safe. Take what you can and move on.
>>>	Description	Here's something at the back of the hold...
>>>	Teaser	Here's something at the back of the hold...
>>>	Name	What's this?
>>	Name	Loot and scuttle her
>>	Description	If you've gathered enough, you may learn something...
>>>	Description	Corsairs! Inventive and disgusting as a sewerful of clockwork apes. You've gleaned enough details to write a treatise, a strategy manual or a titillating penny-dreadful.
>>>	Teaser	Corsairs! - 
>>>	Name	The study of squalor
>>	Name	Record any Observations
>>	Description	Three zailors should be enough for a skeleton crew, unless she runs into trouble.
>>>	Description	Your prize is never seen again. Perhaps a heptycheer devours your crew. Perhaps they devour each other. Perhaps they betray you and sail it to the Iron Republic, where laws cannot follow.
>>>	Teaser	Your prize is never seen again...
>>>	Name	Into the darkness
>>	Name	Send home with a prize crew
>>>	Description	When you next return to London, return to your Lodgings to claim your prize money...
>>>	Teaser	When you next return to London, return to your Lodgings to claim your prize money...
